id,dataset,ts,time,order_type,order_side,price,qty
150,Ag(T+D)@sg,1522414974000,2018-03-30 21:02:54.000000,LIMIT,ASK,3591.99995,10
151,Ag(T+D)@sg,1522414980000,2018-03-30 21:03:00.000000,LIMIT,ASK,3593.0,10
152,Ag(T+D)@sg,1522414990000,2018-03-30 21:03:10.000000,LIMIT,ASK,3593.0,10
153,Ag(T+D)@sg,1522415000000,2018-03-30 21:03:20.000000,LIMIT,ASK,3593.0,10
154,Ag(T+D)@sg,1522415010000,2018-03-30 21:03:30.000000,LIMIT,ASK,3593.0,10
155,Ag(T+D)@sg,1522415020000,2018-03-30 21:03:40.000000,LIMIT,ASK,3593.0,10
156,Ag(T+D)@sg,1522415030000,2018-03-30 21:03:50.000000,LIMIT,ASK,3593.0,10
157,Ag(T+D)@sg,1522415040000,2018-03-30 21:04:00.000000,LIMIT,ASK,3593.0,10
158,Ag(T+D)@sg,1522415050000,2018-03-30 21:04:10.000000,LIMIT,ASK,3593.0,10
159,Ag(T+D)@sg,1522415060000,2018-03-30 21:04:20.000000,LIMIT,ASK,3593.0,10
160,Ag(T+D)@sg,1522415070000,2018-03-30 21:04:30.000000,LIMIT,ASK,3593.0,10
161,Ag(T+D)@sg,1522415080000,2018-03-30 21:04:40.000000,LIMIT,ASK,3593.0,10
162,Ag(T+D)@sg,1522415090000,2018-03-30 21:04:50.000000,LIMIT,ASK,3593.0,10
163,Ag(T+D)@sg,1522415100000,2018-03-30 21:05:00.000000,LIMIT,ASK,3593.0,10
164,Ag(T+D)@sg,1522415110000,2018-03-30 21:05:10.000000,LIMIT,ASK,3593.0,10
165,Ag(T+D)@sg,1522415120000,2018-03-30 21:05:20.000000,LIMIT,ASK,3593.0,10
166,Ag(T+D)@sg,1522415130000,2018-03-30 21:05:30.000000,LIMIT,ASK,3593.0,10
167,Ag(T+D)@sg,1522415140000,2018-03-30 21:05:40.000000,LIMIT,ASK,3593.0,10
168,Ag(T+D)@sg,1522415150000,2018-03-30 21:05:50.000000,LIMIT,ASK,3593.0,10
169,Ag(T+D)@sg,1522415160000,2018-03-30 21:06:00.000000,LIMIT,ASK,3593.0,10
170,Ag(T+D)@sg,1522415170000,2018-03-30 21:06:10.000000,LIMIT,ASK,3594.0,10
171,Ag(T+D)@sg,1522415180000,2018-03-30 21:06:20.000000,LIMIT,BID,3593.0,10
